game_id,source,source_title,confidence_score,matched_by
def_jam_fight_for_ny_the_takeover,metacritic,Def Jam: Fight for NY: The Takeover,100,exact_title_platform_year
def_jam_rapstar,metacritic,Def Jam Rapstar,100,exact_title_platform_year
dark_arcana_the_carnival,metacritic,Dark Arcana: The Carnival,100,exact_title_platform_year
demon_s_souls,vgsales,Demon's Souls,100,exact_title_platform_year
defiance,vgsales,Defiance,100,exact_title_platform_year
deliver_us_the_moon,metacritic,Deliver Us The Moon,100,exact_title_platform_year
dementium_remastered,metacritic,Dementium Remastered,100,exact_title_platform_year
demikids_light_version,metacritic,DemiKids: Light Version,100,exact_title_platform_year
demon_gaze_ii,metacritic,Demon Gaze II,100,exact_title_platform_year
dengeki_bunko_fighting_climax,metacritic,Dengeki Bunko: Fighting Climax,100,exact_title_platform_year
densha_de_go_64,vgsales,Densha De Go! 64,100,exact_title_platform_year
derby_jockey_2,vgsales,Derby Jockey 2,100,exact_title_platform_year
derby_stallion_advance,vgsales,Derby Stallion Advance,100,exact_title_platform_year
descent,vgsales,Descent,100,exact_title_platform_year
desire,vgsales,Desire,100,exact_title_platform_year
desperados_wanted_dead_or_alive,metacritic,Desperados: Wanted Dead or Alive,100,exact_title_platform_year
destiny,metacritic,Destiny,100,exact_title_platform_year
destiny,vgsales,Destiny,100,exact_title_platform_year
destroy_all_humans_big_willy_unleashed,metacritic,Destroy All Humans! Big Willy Unleashed,100,exact_title_platform_year
destruction_derby_2,vgsales,Destruction Derby 2,100,exact_title_platform_year
detana_twinbee_yahho_deluxe_pack,vgsales,Detana TwinBee Yahho! Deluxe Pack,100,exact_title_platform_year
detention,metacritic,Detention,100,exact_title_platform_year
deus_ex_the_fall,metacritic,Deus Ex: The Fall,100,exact_title_platform_year
devil_kings,vgsales,Devil Kings,100,exact_title_platform_year
devil_s_third,metacritic,Devil's Third,100,exact_title_platform_year
dex,metacritic,Dex,100,exact_title_platform_year
crash_bandicoot_n_sane_trilogy,metacritic,Crash Bandicoot N. Sane Trilogy,100,exact_title_platform_year
darksiders,vgsales,Darksiders,100,exact_title_platform_year
dark_cloud,metacritic,Dark Cloud,100,exact_title_platform_year
di_gata_defenders,vgsales,Di-Gata Defenders,100,exact_title_platform_year
diablo_ii_resurrected,metacritic,Diablo II: Resurrected,100,exact_title_platform_year
diablo_iii_ultimate_evil_edition,metacritic,Diablo III: Ultimate Evil Edition,100,exact_title_platform_year
diary_girl,vgsales,Diary Girl,100,exact_title_platform_year
die_hard_trilogy,vgsales,Die Hard Trilogy,100,exact_title_platform_year
digimon_all_star_rumble,metacritic,Digimon All-Star Rumble,100,exact_title_platform_year
digimon_rumble_arena_2,vgsales,Digimon Rumble Arena 2,100,exact_title_platform_year
digimon_world_championship,vgsales,Digimon World Championship,100,exact_title_platform_year
digimon_world_next_order,metacritic,Digimon World: Next Order,100,exact_title_platform_year
dillon_s_dead_heat_breakers,metacritic,Dillon's Dead-Heat Breakers,100,exact_title_platform_year
dillon_s_rolling_western_the_last_ranger,metacritic,Dillon's Rolling Western: The Last Ranger,100,exact_title_platform_year
dino_crisis,vgsales,Dino Crisis,100,exact_title_platform_year
dino_crisis_3,metacritic,Dino Crisis 3,100,exact_title_platform_year
dinotopia_the_timestone_pirates,vgsales,Dinotopia: The Timestone Pirates,100,exact_title_platform_year
dirt_2,vgsales,DiRT 2,100,exact_title_platform_year
dirt_4,metacritic,DiRT 4,100,exact_title_platform_year
dirt_5,metacritic,DIRT 5,100,exact_title_platform_year
dirt_rally_2_0,metacritic,DiRT Rally 2.0,100,exact_title_platform_year
dirt_showdown,vgsales,DiRT Showdown,100,exact_title_platform_year
disc_jam,metacritic,Disc Jam,100,exact_title_platform_year
disc_room,metacritic,Disc Room,100,exact_title_platform_year
discovery_kids_puppy_playtime,vgsales,Discovery Kids: Puppy Playtime,100,exact_title_platform_year
discworld,vgsales,Discworld,100,exact_title_platform_year
disgaea_2_cursed_memories,metacritic,Disgaea 2: Cursed Memories,100,exact_title_platform_year
disgaea_2_dark_hero_days,vgsales,Disgaea 2: Dark Hero Days,100,exact_title_platform_year
disgaea_4_complete,metacritic,Disgaea 4 Complete+,100,exact_title_platform_year
disgaea_infinite,metacritic,Disgaea Infinite,100,exact_title_platform_year
dishonored_definitive_edition,metacritic,Dishonored: Definitive Edition,100,exact_title_platform_year
darksiders_ii,metacritic,Darksiders II,100,exact_title_platform_year
dishonored_the_brigmore_witches,metacritic,Dishonored: The Brigmore Witches,100,exact_title_platform_year
disney_art_academy,metacritic,Disney Art Academy,100,exact_title_platform_year
disney_epic_mickey_2_the_power_of_two,metacritic,Disney Epic Mickey 2: The Power of Two,100,exact_title_platform_year
disney_infinity,vgsales,Disney Infinity,100,exact_title_platform_year
disney_infinity_3_0,vgsales,Disney Infinity 3.0,100,exact_title_platform_year
disney_pixar_cars_mater_national_championship,metacritic,Disney/Pixar Cars Mater-National Championship,100,exact_title_platform_year
disney_princess_enchanting_storybooks,vgsales,Disney Princess: Enchanting Storybooks,100,exact_title_platform_year
disney_s_ducktales,vgsales,Disney's DuckTales,100,exact_title_platform_year
disney_s_chicken_little_ace_in_action,vgsales,Disney's Chicken Little: Ace In Action,100,exact_title_platform_year
disney_s_extreme_skate_adventure,metacritic,Disney's Extreme Skate Adventure,100,exact_title_platform_year
disney_s_kim_possible_global_gemini,vgsales,Disney's Kim Possible: Global Gemini,100,exact_title_platform_year
disney_s_magical_mirror_starring_mickey_mouse,vgsales,Disney's Magical Mirror Starring Mickey Mouse,100,exact_title_platform_year
darksiders_iii,metacritic,Darksiders III,100,exact_title_platform_year
disney_s_party,vgsales,Disney's Party,100,exact_title_platform_year
darksiders_iii,metacritic,Darksiders III,100,exact_title_platform_year
disney_s_tarzan,vgsales,Disney's Tarzan,100,exact_title_platform_year
disney_s_tarzan_untamed,vgsales,Disney's Tarzan Untamed,100,exact_title_platform_year
disney_s_winnie_the_pooh_s_rumbly_tumbly_adventure,vgsales,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,100,exact_title_platform_year
disney_sing_it,metacritic,Disney Sing It,100,exact_title_platform_year
disney_sing_it_high_school_musical_3_senior_year,vgsales,Disney Sing It! High School Musical 3: Senior Year,100,exact_title_platform_year
disney_sports_football,vgsales,Disney Sports Football,100,exact_title_platform_year
disruptor,vgsales,Disruptor,100,exact_title_platform_year
divinity_ii_ego_draconis,vgsales,Divinity II: Ego Draconis,100,exact_title_platform_year
