game_id,title,data_confidence_score,popularity_score
secret_agent_files_miami,Secret Agent Files: Miami,20,17.705
secret_mysteries_in_london,Secret Mysteries in London,20,17.705
sexy_poker,Sexy Poker,20,17.705
shadow_of_the_ninja,Shadow of the Ninja,20,17.705
shift_dx,Shift DX,20,17.705
shingu_secret_of_the_stellar_wars,Shingu: Secret of the Stellar Wars,25,17.7125
shooting_range_by_thornbury_software,Shooting Range by Thornbury Software,20,17.705
shooty_space,SHOOTY SPACE,20,17.705
shorts,Shorts,20,17.705
shuttle_rush,Shuttle Rush,20,17.705
sideswiped,Sideswiped,20,17.705
simply_solitaire,Simply Solitaire,20,17.705
skater_cat,Skater Cat,20,17.705
skorb,SKORB,20,17.705
sky_kid_1986,Sky Kid (1986),20,17.705
slitherlink_by_nikoli,Slitherlink by Nikoli,20,17.705
slots_pharaoh_s_riches,Slots - Pharaoh's Riches,20,17.705
smart_kid_s_gameclub,Smart Kid's: Gameclub,25,17.7125
smash_cat_heroes,Smash Cat Heroes,20,17.705
smash_controller,Smash Controller,20,17.705
smilebasic,SmileBASIC,20,17.705
snowboard_xtreme,Snowboard Xtreme,20,17.705
soccer_up_3d,Soccer Up 3D,20,17.705
sonic_exe_spirits_of_hell,sonic.exe spirits of hell,20,17.705
soon_shine,Soon Shine,20,17.705
space_hunted_the_lost_levels,Space Hunted: The Lost Levels,10,17.69
space_lift_danger_panic,Space Lift Danger Panic!,20,17.705
sparkle_snapshots_3d,Sparkle Snapshots 3D,20,17.705
spec_ops,Spec Ops,20,17.705
sphere_slice,SPHERE SLICE,20,17.705
spherezor,SphereZor,20,17.705
splatterhouse_2,SPLATTERHOUSE 2,20,17.705
spot_the_differences_party,Spot The Differences: Party!,20,17.705
spy_kids_all_the_time_in_the_world,Spy Kids: All the Time in the World,20,17.705
squarcat,Squarcat,20,17.705
squid_game_itch,Squid Game (itch),20,17.705
sssnakes,Sssnakes,20,17.705
star_channel_34,Star Channel 34,20,17.705
star_ghost,Star Ghost,20,17.705
star_splash_shattered_star,Star Splash: Shattered Star,20,17.705
starforce,STARFORCE,20,17.705
startropics,StarTropics,20,17.705
steamworld_tower_defense,SteamWorld Tower Defense,20,17.705
stickman_super_athletics,Stickman Super Athletics,20,17.705
stonekeep_bones_of_the_ancestors,Stonekeep: Bones of the Ancestors,20,17.705
street_slam,STREET SLAM,25,17.7125
strider_2,Strider 2,10,17.69
subete_ga_f_ni_naru,Subete ga F ni Naru,20,17.705
sudoku_4pockets,Sudoku 4Pockets,20,17.705
sudoku_party,Sudoku Party,20,17.705
super_e_d_f_earth_defense_force,SUPER E.D.F.: Earth Defense Force,20,17.705
super_empire_strikes_back,Super Empire Strikes Back,20,17.705
super_fantasy_zone,Super Fantasy Zone,20,17.705
super_monkey_ball_step_and_roll,Super Monkey Ball: Step and Roll,20,17.705
super_r_type,SUPER R-TYPE,20,17.705
super_swap,Super Swap,20,17.705
suugaku_rikiou_chuukyuu_naka_2_level,Suugaku Rikiou: Chuukyuu Naka-2-Level,20,17.705
suugaku_rikiou_shokyuu_naka_1_level,Suugaku Rikiou: Shokyuu Naka-1-Level,20,17.705
swapdoodle,Swapdoodle,20,17.705
sweet_memories_blackjack,Sweet Memories - Blackjack,20,17.705
sword_of_vermillion,Sword of Vermillion,20,17.705
swords_darkness,SWORDS & DARKNESS,20,17.705
symphony_of_eternity,Symphony of Eternity,20,17.705
table_tennis_infinity,TABLE TENNIS INFINITY,20,17.705
tabletop_gallery,TABLETOP GALLERY,20,17.705
tales_to_enjoy_the_ugly_duckling,Tales to Enjoy! The Ugly Duckling,20,17.705
tangram_attack,Tangram Attack,20,17.705
tangram_style,Tangram Style,20,17.705
tap_tap_arcade_2,TAP TAP ARCADE 2,20,17.705
target_toss_pro_bags,Target Toss Pro: Bags,25,17.7125
war_chess,War Chess,25,17.7125
catz_5,Catz 5,25,19.4125
slots_from_bally_gaming,Slots from Bally Gaming,25,17.7125
industry_giant_2_1980_2020_add_on,Industry Giant 2: 1980-2020 Add-on,25,17.7125
pontifex_2,Pontifex 2,25,17.7125
mad_dog_mccree_remastered_edition,Mad Dog McCree Remastered Edition,25,17.7125
teenage_mutant_ninja_turtles_master_splinter_s_training_pack,Teenage Mutant Ninja Turtles: Master Splinter's Training Pack,20,17.705
telly_addicts,Telly Addicts,25,17.7125
world_s_greatest_coasters_3d,World's Greatest Coasters 3D,25,17.7125
minigolf_master_2,MiniGolf Master 2,25,17.7125
dogz_5,Dogz 5,25,19.3125
deep_fritz_7,Deep Fritz 7,25,17.7125
dweebs_2_the_new_breed,Dweebs 2: The New Breed,25,17.7125
ultimate_ride_disney_coaster,Ultimate Ride Disney Coaster,25,17.7125
chessmaster_9000,Chessmaster 9000,25,17.7125
wheel_of_fortune_2003,Wheel of Fortune 2003,25,17.7125
watch_me_in_my_house,Watch Me in My House,25,17.7125
combat_mission_barbarossa_to_berlin,Combat Mission: Barbarossa to Berlin,25,17.7125
roller_coaster_factory_3,Roller Coaster Factory 3,25,17.7125
brainstorm_the_game_show,BrainStorm - The Game Show,25,17.7125
tetra_s_escape,TETRA’s Escape,20,17.705
combat_mission_ii_barbarossa_to_berlin,Combat Mission II: Barbarossa to Berlin,25,17.7125
reel_deal_slots_video_poker_2nd_volume,Reel Deal Slots & Video Poker 2nd Volume,25,17.7125
pornstar_3d_hail_to_the_beef,Pornstar 3D: Hail to the Beef,25,17.7125
advanced_digitone,Advanced DigiTone,25,17.7125
ball_swapper,Ball Swapper,25,17.7125
the_amazing_brain_train,The Amazing Brain Train!,20,17.705
fruit_machine_simulator,Fruit Machine Simulator,25,17.7125
the_battle_cats_pop,The Battle Cats POP!,20,17.705
altitudes,Altitudes,25,17.7125
magic_the_gathering_online,Magic: The Gathering Online,25,17.7125
the_cheetahmen,The Cheetahmen,25,17.7125
more_blast_from_the_past,MORE Blast from the Past!,25,17.7125
shredder_6,Shredder 6,25,17.7125
the_worst_case_scenario_survival_trivia_challenge,The Worst-Case Scenario Survival Trivia Challenge,25,17.7125
ultimate_ride_coaster_deluxe,Ultimate Ride Coaster Deluxe,25,17.7125
colors_of_war,Colors of War,25,17.7125
foot_quiz_challenge,Foot Quiz Challenge,25,17.7125
the_game_of_life_1998,The game of life 1998,20,17.705
dino_crisis_2_2002,Dino Crisis 2 (2002),25,17.7125
goliath_blitz_year_2002_edition,Goliath Blitz Year 2002 Edition,25,17.7125
who_wants_to_be_a_gazillionaire,Who Wants to Be a Gazillionaire?,25,17.7125
the_hd_adventures_of_rotating_octopus_character,The HD Adventures of Rotating Octopus Character,10,17.69
canyon_fodder,Canyon Fodder,25,17.7125
mp,MP,15,17.6975
swamp_goose,SWAMP GOOSE,25,17.7125
karaokeyboard_2014,Karaokeyboard-2014,25,17.7125
sunrose_itch,SUNROSE (itch),25,17.7125
cautious_v,Cautious V,25,17.7125
my_wolf,My Wolf,25,17.7125
sunrose,sunrose,25,17.7125
camo,CAMO,15,17.6975
