group_key,suggested_review,status,candidate_count
metalgearsolidpeacewalker,merge_candidate,merged,2
narutoshippudenshinobirumble,merge_candidate,merged,2
vampiresurvivors,merge_candidate,merged,2
pyre,merge_candidate,merged,2
chkkannightproyakyking2,merge_candidate,merged,2
thelionking1,merge_candidate,merged,2
strongbadscoolgameforattractivepeopleepisode4dangeresque3thecriminalprojective,merge_candidate,merged,2
kirbysdreamland3,merge_candidate,merged,2
brokenagethecompleteadventure,preserve_edition_review,merged,2
yugiohforbiddenmemories,merge_candidate,merged,2
frostpunk,merge_candidate,merged,2
pokepark2wondersbeyond,merge_candidate,merged,2
legobatmanthevideogame,merge_candidate,merged,2
pokmonsupermysterydungeon,merge_candidate,merged,2
queensgarden,merge_candidate,merged,2
dragonriderschroniclesofpern,merge_candidate,merged,2
blasphemousii,merge_candidate,merged,2
peliiworldtournamentsoccer,merge_candidate,merged,2
guinnessworldrecordsthevideogame,merge_candidate,merged,2
tokyomiragesessionsfe,merge_candidate,merged,2
hogwartslegacy,merge_candidate,merged,2
kouchuuoujamushikinggreatestchampionenomichids,merge_candidate,merged,2
clayfighter63,merge_candidate,merged,2
thelastofusleftbehind,merge_candidate,merged,2
godofwarragnark,merge_candidate,merged,2
supersmashbrosultimate,merge_candidate,merged,2
daisenryakudaitouakouboushitoratoratorawarekishuuniseikouseri,merge_candidate,merged,2
sonicsuperstars,merge_candidate,merged,2
papermariostickerstar,merge_candidate,merged,2
thewalkingdeadthefinalseason,merge_candidate,merged,2
dayofthetentacleremastered,preserve_edition_review,merged,2
ninjatown,merge_candidate,merged,2
marvelsspiderman,merge_candidate,merged,2
pokmonstadium2,merge_candidate,merged,2
metalgearsolid4gunsofthepatriots,merge_candidate,merged,2
lifeisstrange2,merge_candidate,merged,2
soulcaliburiii,merge_candidate,merged,2
pokmonlegendsarceus,merge_candidate,merged,2
kirbysadventure,merge_candidate,merged,2
hakuokiedoblossoms,merge_candidate,merged,2
dynamitedx,merge_candidate,merged,2
astrobot,merge_candidate,merged,2
mysims,merge_candidate,merged,2
wwfwarzone,merge_candidate,merged,2
dishonored,merge_candidate,merged,2
pokmonpinballrubysapphire2003,merge_candidate,merged,2
